season,week,celebrity,trend,timeframe,kw
3,5,Joey Lawrence,14.285714285714286,2006-10-10 2006-10-16,Joey Lawrence Dancing with the Stars
3,5,Mario Lopez,24.142857142857142,2006-10-10 2006-10-16,Mario Lopez Dancing with the Stars
3,5,Monique Coleman,,2006-10-10 2006-10-16,Monique Coleman Dancing with the Stars
3,5,Sara Evans,24.857142857142858,2006-10-10 2006-10-16,Sara Evans Dancing with the Stars
3,5,Shanna Moakler,,2006-10-10 2006-10-16,Shanna Moakler Dancing with the Stars
3,5,Tucker Carlson,,2006-10-10 2006-10-16,Tucker Carlson Dancing with the Stars
3,5,Vivica A. Fox,,2006-10-10 2006-10-16,Vivica A. Fox Dancing with the Stars
3,5,Willa Ford,50.0,2006-10-10 2006-10-16,Willa Ford Dancing with the Stars
3,6,Emmitt Smith,,2006-10-17 2006-10-23,Emmitt Smith Dancing with the Stars
3,6,Harry Hamlin,,2006-10-17 2006-10-23,Harry Hamlin Dancing with the Stars
3,6,Jerry Springer,,2006-10-17 2006-10-23,Jerry Springer Dancing with the Stars
3,6,Joey Lawrence,,2006-10-17 2006-10-23,Joey Lawrence Dancing with the Stars
3,6,Mario Lopez,,2006-10-17 2006-10-23,Mario Lopez Dancing with the Stars
3,6,Monique Coleman,,2006-10-17 2006-10-23,Monique Coleman Dancing with the Stars
3,6,Sara Evans,,2006-10-17 2006-10-23,Sara Evans Dancing with the Stars
3,6,Shanna Moakler,,2006-10-17 2006-10-23,Shanna Moakler Dancing with the Stars
3,6,Tucker Carlson,,2006-10-17 2006-10-23,Tucker Carlson Dancing with the Stars
3,6,Vivica A. Fox,,2006-10-17 2006-10-23,Vivica A. Fox Dancing with the Stars
3,6,Willa Ford,,2006-10-17 2006-10-23,Willa Ford Dancing with the Stars
3,7,Emmitt Smith,,2006-10-24 2006-10-30,Emmitt Smith Dancing with the Stars
3,7,Harry Hamlin,,2006-10-24 2006-10-30,Harry Hamlin Dancing with the Stars
3,7,Jerry Springer,,2006-10-24 2006-10-30,Jerry Springer Dancing with the Stars
3,7,Joey Lawrence,,2006-10-24 2006-10-30,Joey Lawrence Dancing with the Stars
3,7,Mario Lopez,,2006-10-24 2006-10-30,Mario Lopez Dancing with the Stars
3,7,Monique Coleman,,2006-10-24 2006-10-30,Monique Coleman Dancing with the Stars
3,7,Sara Evans,,2006-10-24 2006-10-30,Sara Evans Dancing with the Stars
3,7,Shanna Moakler,,2006-10-24 2006-10-30,Shanna Moakler Dancing with the Stars
3,7,Tucker Carlson,,2006-10-24 2006-10-30,Tucker Carlson Dancing with the Stars
3,7,Vivica A. Fox,,2006-10-24 2006-10-30,Vivica A. Fox Dancing with the Stars
3,7,Willa Ford,,2006-10-24 2006-10-30,Willa Ford Dancing with the Stars
3,8,Emmitt Smith,,2006-10-31 2006-11-06,Emmitt Smith Dancing with the Stars
3,8,Harry Hamlin,,2006-10-31 2006-11-06,Harry Hamlin Dancing with the Stars
3,8,Jerry Springer,0.0,2006-10-31 2006-11-06,Jerry Springer Dancing with the Stars
3,8,Joey Lawrence,,2006-10-31 2006-11-06,Joey Lawrence Dancing with the Stars
3,8,Mario Lopez,,2006-10-31 2006-11-06,Mario Lopez Dancing with the Stars
3,8,Monique Coleman,,2006-10-31 2006-11-06,Monique Coleman Dancing with the Stars
3,8,Sara Evans,,2006-10-31 2006-11-06,Sara Evans Dancing with the Stars
3,8,Shanna Moakler,,2006-10-31 2006-11-06,Shanna Moakler Dancing with the Stars
3,8,Tucker Carlson,,2006-10-31 2006-11-06,Tucker Carlson Dancing with the Stars
3,8,Vivica A. Fox,,2006-10-31 2006-11-06,Vivica A. Fox Dancing with the Stars
27,1,Alexis Ren,32.714285714285715,2018-09-24 2018-09-30,Alexis Ren Dancing with the Stars
27,1,Bobby Bones,24.142857142857142,2018-09-24 2018-09-30,Bobby Bones Dancing with the Stars
27,1,Danelle Umstead,29.428571428571427,2018-09-24 2018-09-30,Danelle Umstead Dancing with the Stars
27,1,DeMarcus Ware,26.142857142857142,2018-09-24 2018-09-30,DeMarcus Ware Dancing with the Stars
27,1,Evanna Lynch,20.142857142857142,2018-09-24 2018-09-30,Evanna Lynch Dancing with the Stars
27,1,Joe Amabile,23.0,2018-09-24 2018-09-30,Joe Amabile Dancing with the Stars
27,1,John Schneider,24.285714285714285,2018-09-24 2018-09-30,John Schneider Dancing with the Stars
27,1,Juan Pablo Di Pace,17.0,2018-09-24 2018-09-30,Juan Pablo Di Pace Dancing with the Stars
27,1,Mary Lou Retton,26.571428571428573,2018-09-24 2018-09-30,Mary Lou Retton Dancing with the Stars
27,1,Milo Manheim,25.571428571428573,2018-09-24 2018-09-30,Milo Manheim Dancing with the Stars
27,1,Nancy McKeon,30.857142857142858,2018-09-24 2018-09-30,Nancy McKeon Dancing with the Stars
27,1,Nikki Glaser,23.428571428571427,2018-09-24 2018-09-30,Nikki Glaser Dancing with the Stars
27,1,Tinashe,23.571428571428573,2018-09-24 2018-09-30,Tinashe Dancing with the Stars
27,2,Alexis Ren,34.0,2018-10-01 2018-10-07,Alexis Ren Dancing with the Stars
27,2,Bobby Bones,28.714285714285715,2018-10-01 2018-10-07,Bobby Bones Dancing with the Stars
27,2,Danelle Umstead,29.428571428571427,2018-10-01 2018-10-07,Danelle Umstead Dancing with the Stars
27,2,DeMarcus Ware,30.285714285714285,2018-10-01 2018-10-07,DeMarcus Ware Dancing with the Stars
27,2,Evanna Lynch,28.0,2018-10-01 2018-10-07,Evanna Lynch Dancing with the Stars
27,2,Joe Amabile,25.142857142857142,2018-10-01 2018-10-07,Joe Amabile Dancing with the Stars
27,2,John Schneider,23.428571428571427,2018-10-01 2018-10-07,John Schneider Dancing with the Stars
27,2,Juan Pablo Di Pace,26.0,2018-10-01 2018-10-07,Juan Pablo Di Pace Dancing with the Stars
27,2,Mary Lou Retton,26.428571428571427,2018-10-01 2018-10-07,Mary Lou Retton Dancing with the Stars
27,2,Milo Manheim,31.142857142857142,2018-10-01 2018-10-07,Milo Manheim Dancing with the Stars
27,2,Nancy McKeon,23.714285714285715,2018-10-01 2018-10-07,Nancy McKeon Dancing with the Stars
27,2,Nikki Glaser,14.285714285714286,2018-10-01 2018-10-07,Nikki Glaser Dancing with the Stars
27,2,Tinashe,24.714285714285715,2018-10-01 2018-10-07,Tinashe Dancing with the Stars
27,3,Alexis Ren,17.714285714285715,2018-10-08 2018-10-14,Alexis Ren Dancing with the Stars
27,3,Bobby Bones,21.428571428571427,2018-10-08 2018-10-14,Bobby Bones Dancing with the Stars
27,3,Danelle Umstead,,2018-10-08 2018-10-14,Danelle Umstead Dancing with the Stars
27,3,DeMarcus Ware,14.285714285714286,2018-10-08 2018-10-14,DeMarcus Ware Dancing with the Stars
27,3,Evanna Lynch,19.428571428571427,2018-10-08 2018-10-14,Evanna Lynch Dancing with the Stars
27,3,Joe Amabile,14.285714285714286,2018-10-08 2018-10-14,Joe Amabile Dancing with the Stars
27,3,John Schneider,14.285714285714286,2018-10-08 2018-10-14,John Schneider Dancing with the Stars
27,3,Juan Pablo Di Pace,14.285714285714286,2018-10-08 2018-10-14,Juan Pablo Di Pace Dancing with the Stars
27,3,Mary Lou Retton,16.285714285714285,2018-10-08 2018-10-14,Mary Lou Retton Dancing with the Stars
27,3,Milo Manheim,20.428571428571427,2018-10-08 2018-10-14,Milo Manheim Dancing with the Stars
27,3,Nancy McKeon,16.857142857142858,2018-10-08 2018-10-14,Nancy McKeon Dancing with the Stars
27,3,Nikki Glaser,,2018-10-08 2018-10-14,Nikki Glaser Dancing with the Stars
27,3,Tinashe,16.857142857142858,2018-10-08 2018-10-14,Tinashe Dancing with the Stars
27,4,Alexis Ren,17.857142857142858,2018-10-15 2018-10-21,Alexis Ren Dancing with the Stars
27,4,Bobby Bones,22.857142857142858,2018-10-15 2018-10-21,Bobby Bones Dancing with the Stars
27,4,Danelle Umstead,,2018-10-15 2018-10-21,Danelle Umstead Dancing with the Stars
27,4,DeMarcus Ware,14.285714285714286,2018-10-15 2018-10-21,DeMarcus Ware Dancing with the Stars
27,4,Evanna Lynch,14.285714285714286,2018-10-15 2018-10-21,Evanna Lynch Dancing with the Stars
27,4,Joe Amabile,14.285714285714286,2018-10-15 2018-10-21,Joe Amabile Dancing with the Stars
27,4,John Schneider,14.285714285714286,2018-10-15 2018-10-21,John Schneider Dancing with the Stars
27,4,Juan Pablo Di Pace,14.285714285714286,2018-10-15 2018-10-21,Juan Pablo Di Pace Dancing with the Stars
27,4,Mary Lou Retton,14.285714285714286,2018-10-15 2018-10-21,Mary Lou Retton Dancing with the Stars
27,4,Milo Manheim,20.285714285714285,2018-10-15 2018-10-21,Milo Manheim Dancing with the Stars
27,4,Nancy McKeon,14.285714285714286,2018-10-15 2018-10-21,Nancy McKeon Dancing with the Stars
27,4,Nikki Glaser,,2018-10-15 2018-10-21,Nikki Glaser Dancing with the Stars
27,4,Tinashe,16.714285714285715,2018-10-15 2018-10-21,Tinashe Dancing with the Stars
27,5,Alexis Ren,17.285714285714285,2018-10-22 2018-10-28,Alexis Ren Dancing with the Stars
27,5,Bobby Bones,22.428571428571427,2018-10-22 2018-10-28,Bobby Bones Dancing with the Stars
27,5,Danelle Umstead,,2018-10-22 2018-10-28,Danelle Umstead Dancing with the Stars
27,5,DeMarcus Ware,14.285714285714286,2018-10-22 2018-10-28,DeMarcus Ware Dancing with the Stars
27,5,Evanna Lynch,14.285714285714286,2018-10-22 2018-10-28,Evanna Lynch Dancing with the Stars
27,5,Joe Amabile,14.285714285714286,2018-10-22 2018-10-28,Joe Amabile Dancing with the Stars
27,5,John Schneider,18.714285714285715,2018-10-22 2018-10-28,John Schneider Dancing with the Stars
27,5,Juan Pablo Di Pace,14.285714285714286,2018-10-22 2018-10-28,Juan Pablo Di Pace Dancing with the Stars
27,5,Mary Lou Retton,14.285714285714286,2018-10-22 2018-10-28,Mary Lou Retton Dancing with the Stars
27,5,Milo Manheim,23.142857142857142,2018-10-22 2018-10-28,Milo Manheim Dancing with the Stars
27,5,Nancy McKeon,14.285714285714286,2018-10-22 2018-10-28,Nancy McKeon Dancing with the Stars
27,5,Nikki Glaser,,2018-10-22 2018-10-28,Nikki Glaser Dancing with the Stars
27,5,Tinashe,14.285714285714286,2018-10-22 2018-10-28,Tinashe Dancing with the Stars
27,6,Alexis Ren,20.142857142857142,2018-10-29 2018-11-04,Alexis Ren Dancing with the Stars
27,6,Bobby Bones,26.142857142857142,2018-10-29 2018-11-04,Bobby Bones Dancing with the Stars
27,6,Danelle Umstead,,2018-10-29 2018-11-04,Danelle Umstead Dancing with the Stars
27,6,DeMarcus Ware,14.285714285714286,2018-10-29 2018-11-04,DeMarcus Ware Dancing with the Stars
27,6,Evanna Lynch,19.857142857142858,2018-10-29 2018-11-04,Evanna Lynch Dancing with the Stars
27,6,Joe Amabile,14.285714285714286,2018-10-29 2018-11-04,Joe Amabile Dancing with the Stars
27,6,John Schneider,14.285714285714286,2018-10-29 2018-11-04,John Schneider Dancing with the Stars
27,6,Juan Pablo Di Pace,14.285714285714286,2018-10-29 2018-11-04,Juan Pablo Di Pace Dancing with the Stars
27,6,Mary Lou Retton,17.0,2018-10-29 2018-11-04,Mary Lou Retton Dancing with the Stars
27,6,Milo Manheim,21.142857142857142,2018-10-29 2018-11-04,Milo Manheim Dancing with the Stars
27,6,Nancy McKeon,,2018-10-29 2018-11-04,Nancy McKeon Dancing with the Stars
27,6,Nikki Glaser,25.571428571428573,2018-10-29 2018-11-04,Nikki Glaser Dancing with the Stars
27,6,Tinashe,,2018-10-29 2018-11-04,Tinashe Dancing with the Stars
27,7,Alexis Ren,24.571428571428573,2018-11-05 2018-11-11,Alexis Ren Dancing with the Stars
27,7,Bobby Bones,23.0,2018-11-05 2018-11-11,Bobby Bones Dancing with the Stars
27,7,Danelle Umstead,14.285714285714286,2018-11-05 2018-11-11,Danelle Umstead Dancing with the Stars
27,7,DeMarcus Ware,14.285714285714286,2018-11-05 2018-11-11,DeMarcus Ware Dancing with the Stars
27,7,Evanna Lynch,14.285714285714286,2018-11-05 2018-11-11,Evanna Lynch Dancing with the Stars
27,7,Joe Amabile,14.285714285714286,2018-11-05 2018-11-11,Joe Amabile Dancing with the Stars
27,7,John Schneider,16.714285714285715,2018-11-05 2018-11-11,John Schneider Dancing with the Stars
27,7,Juan Pablo Di Pace,14.285714285714286,2018-11-05 2018-11-11,Juan Pablo Di Pace Dancing with the Stars
